year,month,district,department,request_count,avg_response_time,resolution_rate,priority_critical_count,priority_high_count,priority_medium_count,priority_low_count
2021,1,Industrial,Public Works,9,65.7,0.796,0,11,23,10
2021,1,Industrial,Parks & Recreation,12,27.6,0.667,0,12,21,10
2021,1,Industrial,Building & Safety,25,37.5,0.659,1,2,8,16
2021,1,Industrial,Transportation,19,77.5,0.845,5,9,8,7
2021,1,Industrial,Utilities,6,33.8,0.876,4,4,18,18
2021,1,Industrial,Environmental Services,20,35.1,0.731,5,5,14,13
2021,1,Industrial,Code Enforcement,14,41.9,0.751,5,2,7,10
2021,1,Industrial,Permits & Licensing,22,42.3,0.782,5,13,6,8
2021,1,Midtown,Public Works,18,53.3,0.916,1,2,17,18
2021,1,Midtown,Parks & Recreation,10,28.0,0.688,5,15,14,4
2021,1,Midtown,Building & Safety,5,27.8,0.819,2,11,24,6
2021,1,Midtown,Transportation,19,27.9,0.876,2,9,25,20
2021,1,Midtown,Utilities,27,60.9,0.792,3,4,21,17
2021,1,Midtown,Environmental Services,13,64.4,0.696,1,14,8,13
2021,1,Midtown,Code Enforcement,10,38.2,0.736,5,9,25,11
2021,1,Midtown,Permits & Licensing,27,66.7,0.707,1,2,15,12
2021,1,University,Public Works,23,32.4,0.912,5,14,11,8
2021,1,University,Parks & Recreation,24,25.6,0.867,5,8,18,19
2021,1,University,Building & Safety,15,80.7,0.73,0,8,8,8
2021,1,University,Transportation,11,33.8,0.689,3,7,12,3
2021,1,University,Utilities,16,74.2,0.824,3,5,19,11
2021,1,University,Environmental Services,15,80.4,0.903,2,11,23,3
2021,1,University,Code Enforcement,13,73.8,0.692,5,7,12,4
2021,1,University,Permits & Licensing,26,41.5,0.877,0,9,14,8
2021,1,Harbor,Public Works,17,39.1,0.67,5,10,14,6
2021,1,Harbor,Parks & Recreation,25,74.6,0.759,2,7,24,10
2021,1,Harbor,Building & Safety,12,90.2,0.826,1,9,9,17
2021,1,Harbor,Transportation,36,30.5,0.906,4,7,18,20
2021,1,Harbor,Utilities,26,42.6,0.741,4,14,11,10
2021,1,Harbor,Environmental Services,26,53.0,0.664,4,15,7,19
2021,1,Harbor,Code Enforcement,19,59.7,0.683,4,13,16,5
2021,1,Harbor,Permits & Licensing,23,52.9,0.745,0,2,22,19
2021,2,Downtown,Public Works,11,79.6,0.867,4,10,9,8
2021,2,Downtown,Parks & Recreation,15,35.0,0.749,4,9,8,9
2021,2,Downtown,Building & Safety,27,50.9,0.691,4,9,7,19
2021,2,Downtown,Transportation,24,81.5,0.841,0,9,9,19
2021,2,Downtown,Utilities,23,37.7,0.749,3,11,6,20
2021,2,Downtown,Environmental Services,19,31.6,0.82,5,14,14,3
2021,2,Downtown,Code Enforcement,17,32.7,0.916,2,15,5,9
2021,2,Downtown,Permits & Licensing,23,80.2,0.755,0,2,18,14
2021,2,Northside,Public Works,27,65.7,0.896,0,10,6,5
2021,2,Northside,Parks & Recreation,20,63.9,0.697,0,6,18,8
2021,2,Northside,Building & Safety,29,51.3,0.878,1,14,25,16
2021,2,Northside,Transportation,20,70.4,0.826,3,9,17,15
2021,2,Northside,Utilities,9,86.4,0.891,5,12,22,7
2021,2,Northside,Environmental Services,25,90.2,0.676,2,3,10,20
2021,2,Northside,Code Enforcement,17,63.2,0.85,4,4,12,3
2021,2,Northside,Permits & Licensing,29,78.5,0.814,0,6,19,20
2021,2,Southside,Public Works,18,36.0,0.865,4,8,12,10
2021,2,Southside,Parks & Recreation,19,75.8,0.673,2,4,13,9
2021,2,Southside,Building & Safety,28,57.4,0.697,0,2,18,3
2021,2,Southside,Transportation,15,48.3,0.655,1,3,8,4
2021,2,Southside,Utilities,24,52.8,0.798,4,12,6,10
2021,2,Southside,Environmental Services,28,68.6,0.829,0,8,19,10
2021,2,Southside,Code Enforcement,22,84.2,0.708,1,14,6,7
2021,2,Southside,Permits & Licensing,21,32.7,0.88,2,5,23,13
2021,2,Eastgate,Public Works,23,35.3,0.913,4,14,15,10
2021,2,Eastgate,Parks & Recreation,14,84.7,0.785,1,12,21,10
2021,2,Eastgate,Building & Safety,18,94.7,0.676,2,6,6,20
2021,2,Eastgate,Transportation,29,45.8,0.822,5,4,25,16
2021,2,Eastgate,Utilities,28,49.2,0.901,3,2,16,15
2021,2,Eastgate,Environmental Services,30,28.7,0.798,4,7,18,16
2021,2,Eastgate,Code Enforcement,9,66.5,0.826,2,8,10,20
2021,2,Eastgate,Permits & Licensing,20,42.4,0.748,1,15,12,12
2021,2,Westbrook,Public Works,27,84.7,0.703,1,14,19,4
2021,2,Westbrook,Parks & Recreation,22,83.5,0.802,3,8,22,19
2021,2,Westbrook,Building & Safety,9,78.9,0.843,3,5,13,9
2021,2,Westbrook,Transportation,19,38.9,0.804,5,3,19,14
2021,2,Westbrook,Utilities,9,86.5,0.767,4,13,11,4
2021,2,Westbrook,Environmental Services,13,93.6,0.772,3,12,24,4
2021,2,Westbrook,Code Enforcement,7,34.3,0.755,1,14,23,20
2021,2,Westbrook,Permits & Licensing,11,92.5,0.736,3,5,15,12
2021,2,Riverside,Public Works,5,86.5,0.888,1,5,8,18
2021,2,Riverside,Parks & Recreation,12,49.2,0.672,5,11,11,15
2021,2,Riverside,Building & Safety,12,76.2,0.734,4,7,14,15
2021,2,Riverside,Transportation,24,80.4,0.77,4,12,16,12
2021,2,Riverside,Utilities,16,58.9,0.86,2,10,20,17
2021,2,Riverside,Environmental Services,8,51.5,0.77,5,9,15,9
2021,2,Riverside,Code Enforcement,16,51.1,0.749,2,8,6,10
2021,2,Riverside,Permits & Licensing,28,61.9,0.868,1,2,13,20
2021,2,Highland,Public Works,23,50.0,0.792,4,13,18,12
2021,2,Highland,Parks & Recreation,9,72.3,0.723,1,7,12,15
2021,2,Highland,Building & Safety,23,44.0,0.902,1,9,22,13
2021,2,Highland,Transportation,16,76.1,0.806,3,13,25,18
2021,2,Highland,Utilities,24,70.6,0.658,1,13,16,8
2021,2,Highland,Environmental Services,9,68.5,0.788,5,10,20,8
2021,2,Highland,Code Enforcement,22,63.3,0.747,5,2,21,4
2021,2,Highland,Permits & Licensing,7,29.9,0.702,5,2,5,16
2021,2,Lakewood,Public Works,9,92.5,0.76,5,5,7,7
2021,2,Lakewood,Parks & Recreation,5,57.6,0.664,1,10,19,14
2021,2,Lakewood,Building & Safety,6,26.7,0.844,4,12,24,18
2021,2,Lakewood,Transportation,33,62.7,0.787,3,2,5,20
2021,2,Lakewood,Utilities,28,41.5,0.851,3,2,5,19
2021,2,Lakewood,Environmental Services,28,36.1,0.701,2,10,14,3
2021,2,Lakewood,Code Enforcement,21,57.2,0.727,5,12,18,8
2021,2,Lakewood,Permits & Licensing,8,41.8,0.824,0,10,9,10
2021,2,Industrial,Public Works,11,70.9,0.873,4,10,13,14
2021,2,Industrial,Parks & Recreation,13,54.1,0.67,3,3,16,15
2021,2,Industrial,Building & Safety,19,43.7,0.915,4,5,12,12
2021,2,Industrial,Transportation,33,66.9,0.842,0,12,25,4
2021,2,Industrial,Utilities,9,24.5,0.79,3,8,17,20
2021,2,Industrial,Environmental Services,20,26.7,0.804,0,12,5,8
2021,2,Industrial,Code Enforcement,7,90.3,0.911,3,15,18,13
2021,2,Industrial,Permits & Licensing,23,62.9,0.774,0,10,6,10
2021,2,Midtown,Public Works,11,92.0,0.832,5,11,20,11
2021,2,Midtown,Parks & Recreation,6,28.7,0.776,0,12,13,20
2021,2,Midtown,Building & Safety,23,41.3,0.777,5,2,10,13
2021,2,Midtown,Transportation,6,56.8,0.807,1,11,9,15
2021,2,Midtown,Utilities,9,49.7,0.694,2,4,23,10
2021,2,Midtown,Environmental Services,23,60.3,0.874,3,12,22,13
2021,2,Midtown,Code Enforcement,17,71.8,0.741,5,4,7,19
2021,2,Midtown,Permits & Licensing,28,91.4,0.896,2,2,8,16
2021,2,University,Public Works,12,39.1,0.661,0,7,24,15
2021,2,University,Parks & Recreation,29,77.4,0.873,2,2,25,11
2021,2,University,Building & Safety,30,93.7,0.89,3,9,12,14
2021,2,University,Transportation,28,67.2,0.793,3,8,10,15
2021,2,University,Utilities,9,26.0,0.717,4,6,12,5
2021,2,University,Environmental Services,7,57.1,0.82,2,4,17,7
2021,2,University,Code Enforcement,28,64.1,0.851,3,7,16,6
2021,2,University,Permits & Licensing,7,44.1,0.803,0,6,19,14
2021,2,Harbor,Public Works,29,30.3,0.762,2,3,9,5
2021,2,Harbor,Parks & Recreation,10,78.0,0.837,3,9,22,20
2021,2,Harbor,Building & Safety,21,95.3,0.725,3,3,5,5
2021,2,Harbor,Transportation,20,59.9,0.739,4,3,24,13
2021,2,Harbor,Utilities,22,55.7,0.881,0,6,18,15
2021,2,Harbor,Environmental Services,29,73.3,0.888,0,13,22,10
2021,2,Harbor,Code Enforcement,23,38.7,0.886,4,4,17,8
2021,2,Harbor,Permits & Licensing,9,28.3,0.89,2,6,13,18
2021,3,Downtown,Public Works,9,47.7,0.735,0,4,18,11
2021,3,Downtown,Parks & Recreation,18,60.9,0.904,2,9,7,14
2021,3,Downtown,Building & Safety,13,27.4,0.745,1,13,25,18
2021,3,Downtown,Transportation,24,85.7,0.757,4,5,19,6
2021,3,Downtown,Utilities,9,38.3,0.765,2,2,17,13
2021,3,Downtown,Environmental Services,24,51.8,0.897,3,14,15,17
2021,3,Downtown,Code Enforcement,15,78.9,0.786,3,15,25,7
2021,3,Downtown,Permits & Licensing,14,95.2,0.776,2,11,11,18
2021,3,Northside,Public Works,15,28.2,0.721,1,8,15,12
2021,3,Northside,Parks & Recreation,28,55.4,0.692,5,12,20,10
2021,3,Northside,Building & Safety,15,92.2,0.857,3,6,17,14
2021,3,Northside,Transportation,8,43.3,0.81,4,5,23,20
2021,3,Northside,Utilities,10,75.9,0.904,5,14,22,3
2021,3,Northside,Environmental Services,28,87.5,0.789,3,13,11,17
2021,3,Northside,Code Enforcement,30,79.8,0.802,2,15,7,16
2021,3,Northside,Permits & Licensing,26,63.8,0.681,3,4,25,12
2021,3,Southside,Public Works,12,33.1,0.793,2,12,9,16
2021,3,Southside,Parks & Recreation,30,43.4,0.656,3,3,19,18
2021,3,Southside,Building & Safety,23,76.0,0.659,3,10,21,16
2021,3,Southside,Transportation,22,66.9,0.796,0,14,16,20
2021,3,Southside,Utilities,24,93.8,0.781,5,3,8,10
2021,3,Southside,Environmental Services,26,28.6,0.799,5,7,10,4
2021,3,Southside,Code Enforcement,23,84.6,0.919,5,12,25,15
2021,3,Southside,Permits & Licensing,29,55.0,0.736,2,14,18,6
2021,3,Eastgate,Public Works,5,89.3,0.702,0,6,12,19
2021,3,Eastgate,Parks & Recreation,28,68.3,0.76,4,10,23,10
2021,3,Eastgate,Building & Safety,19,27.0,0.744,2,8,19,19
2021,3,Eastgate,Transportation,9,43.1,0.835,2,2,20,6
2021,3,Eastgate,Utilities,14,92.3,0.722,3,3,8,7
2021,3,Eastgate,Environmental Services,16,82.4,0.665,2,7,19,9
2021,3,Eastgate,Code Enforcement,21,62.7,0.669,3,7,20,6
2021,3,Eastgate,Permits & Licensing,19,91.3,0.857,5,13,19,13
2021,3,Westbrook,Public Works,7,71.4,0.872,2,2,8,3
2021,3,Westbrook,Parks & Recreation,15,70.6,0.912,5,3,10,10
2021,3,Westbrook,Building & Safety,21,75.4,0.9,1,10,10,13
2021,3,Westbrook,Transportation,22,61.2,0.682,3,9,12,15
2021,3,Westbrook,Utilities,25,62.0,0.684,1,4,25,16
2021,3,Westbrook,Environmental Services,17,66.7,0.78,0,13,24,9
2021,3,Westbrook,Code Enforcement,19,68.8,0.653,4,8,17,3
2021,3,Westbrook,Permits & Licensing,27,38.0,0.783,1,5,13,5
2021,3,Riverside,Public Works,23,92.4,0.754,0,14,22,8
2021,3,Riverside,Parks & Recreation,16,54.6,0.843,2,5,19,6
2021,3,Riverside,Building & Safety,13,67.5,0.731,5,15,20,19
2021,3,Riverside,Transportation,25,53.6,0.709,2,11,17,15
2021,3,Riverside,Utilities,23,93.6,0.685,0,7,16,17
2021,3,Riverside,Environmental Services,24,50.8,0.657,1,15,14,5
2021,3,Riverside,Code Enforcement,26,40.0,0.861,1,7,8,10
2021,3,Riverside,Permits & Licensing,14,38.5,0.672,0,4,16,7
2021,3,Highland,Public Works,21,58.2,0.653,3,8,24,7
2021,3,Highland,Parks & Recreation,23,30.1,0.868,3,8,10,18
2021,3,Highland,Building & Safety,25,79.5,0.897,4,13,25,8
2021,3,Highland,Transportation,22,85.5,0.834,1,9,14,7
2021,3,Highland,Utilities,10,27.8,0.861,2,15,19,4
2021,3,Highland,Environmental Services,16,84.9,0.866,0,9,9,9
2021,3,Highland,Code Enforcement,17,60.6,0.713,4,10,25,18
2021,3,Highland,Permits & Licensing,18,84.9,0.846,5,9,18,17
2021,3,Lakewood,Public Works,20,94.6,0.692,1,3,23,3
2021,3,Lakewood,Parks & Recreation,30,40.2,0.707,1,6,6,11
2021,3,Lakewood,Building & Safety,12,81.1,0.7,4,6,10,17
2021,3,Lakewood,Transportation,23,28.8,0.92,5,14,20,20
2021,3,Lakewood,Utilities,21,25.8,0.876,0,11,8,11
2021,3,Lakewood,Environmental Services,29,50.3,0.877,4,15,16,20
2021,3,Lakewood,Code Enforcement,29,63.9,0.893,0,14,19,20
2021,3,Lakewood,Permits & Licensing,11,90.7,0.652,3,3,25,10
2021,3,Industrial,Public Works,14,29.4,0.718,0,9,13,14
2021,3,Industrial,Parks & Recreation,7,72.2,0.89,3,15,8,10
2021,3,Industrial,Building & Safety,11,57.1,0.814,5,11,16,16
2021,3,Industrial,Transportation,10,37.6,0.867,4,4,11,9
2021,3,Industrial,Utilities,30,93.6,0.723,0,11,16,20
2021,3,Industrial,Environmental Services,13,59.6,0.673,4,10,10,13
2021,3,Industrial,Code Enforcement,27,64.3,0.786,2,6,23,11
2021,3,Industrial,Permits & Licensing,21,34.4,0.769,5,15,8,7
2021,3,Midtown,Public Works,29,48.1,0.791,3,2,13,7
2021,3,Midtown,Parks & Recreation,27,66.2,0.652,1,5,9,13
2021,3,Midtown,Building & Safety,12,78.8,0.843,5,8,20,7
2021,3,Midtown,Transportation,23,50.4,0.664,5,6,25,16
2021,3,Midtown,Utilities,17,78.4,0.908,3,3,25,5
2021,3,Midtown,Environmental Services,17,41.3,0.737,4,13,13,14
2021,3,Midtown,Code Enforcement,19,37.2,0.806,3,7,23,3
2021,3,Midtown,Permits & Licensing,29,35.1,0.746,5,3,19,14
2021,3,University,Public Works,7,74.2,0.801,4,8,11,16
2021,3,University,Parks & Recreation,11,51.8,0.763,3,6,15,12
2021,3,University,Building & Safety,15,64.5,0.652,4,11,9,18
2021,3,University,Transportation,30,29.7,0.888,2,12,6,4
2021,3,University,Utilities,8,29.6,0.841,5,14,19,3
2021,3,University,Environmental Services,8,90.2,0.723,1,9,19,3
2021,3,University,Code Enforcement,18,50.7,0.804,1,13,9,12
2021,3,University,Permits & Licensing,10,87.5,0.904,2,3,25,14
2021,3,Harbor,Public Works,13,77.2,0.673,0,7,25,8
2021,3,Harbor,Parks & Recreation,6,72.2,0.761,3,12,14,10
2021,3,Harbor,Building & Safety,18,57.9,0.663,5,3,8,3
2021,3,Harbor,Transportation,11,37.8,0.863,3,3,9,10
2021,3,Harbor,Utilities,21,56.7,0.731,5,9,5,3
2021,3,Harbor,Environmental Services,27,51.6,0.881,2,15,8,16
2021,3,Harbor,Code Enforcement,27,77.9,0.724,1,9,7,10
2021,3,Harbor,Permits & Licensing,17,32.5,0.718,0,13,8,6
2021,4,Downtown,Public Works,15,90.3,0.807,2,6,9,15
2021,4,Downtown,Parks & Recreation,29,62.4,0.811,1,12,9,5
2021,4,Downtown,Building & Safety,21,50.4,0.868,4,2,24,8
2021,4,Downtown,Transportation,19,61.7,0.682,2,13,11,7
2021,4,Downtown,Utilities,18,33.3,0.795,4,12,19,9
2021,4,Downtown,Environmental Services,7,91.4,0.733,0,4,8,15
2021,4,Downtown,Code Enforcement,16,86.6,0.856,3,7,9,10
2021,4,Downtown,Permits & Licensing,13,41.8,0.66,5,3,12,20
2021,4,Northside,Public Works,24,31.3,0.847,4,13,24,12
2021,4,Northside,Parks & Recreation,29,38.4,0.75,5,2,14,9
2021,4,Northside,Building & Safety,21,60.1,0.846,4,10,11,15
2021,4,Northside,Transportation,14,32.2,0.76,5,2,12,18
2021,4,Northside,Utilities,17,58.9,0.796,0,5,20,5
2021,4,Northside,Environmental Services,21,82.9,0.696,0,7,15,7
2021,4,Northside,Code Enforcement,17,82.2,0.837,4,8,16,20
2021,4,Northside,Permits & Licensing,26,64.0,0.839,1,14,20,5
2021,4,Southside,Public Works,5,53.7,0.687,4,3,5,11
2021,4,Southside,Parks & Recreation,11,71.9,0.792,0,2,17,19
2021,4,Southside,Building & Safety,14,70.0,0.741,5,13,21,16
2021,4,Southside,Transportation,18,89.3,0.809,5,8,7,20
2021,4,Southside,Utilities,22,30.1,0.771,4,4,13,5
2021,4,Southside,Environmental Services,14,78.5,0.864,0,10,11,7
2021,4,Southside,Code Enforcement,22,59.6,0.892,2,8,23,5
2021,4,Southside,Permits & Licensing,14,43.3,0.761,5,8,12,4
2021,4,Eastgate,Public Works,12,88.7,0.892,0,8,8,17
2021,4,Eastgate,Parks & Recreation,24,73.4,0.882,4,2,14,8
2021,4,Eastgate,Building & Safety,8,30.4,0.884,0,13,9,3
2021,4,Eastgate,Transportation,10,47.1,0.698,3,7,21,19
2021,4,Eastgate,Utilities,30,41.2,0.763,5,6,10,14
2021,4,Eastgate,Environmental Services,9,42.1,0.737,5,14,13,6
2021,4,Eastgate,Code Enforcement,29,33.7,0.73,0,7,18,11
2021,4,Eastgate,Permits & Licensing,21,65.2,0.769,0,6,23,5
2021,4,Westbrook,Public Works,20,49.0,0.852,3,10,16,4
2021,4,Westbrook,Parks & Recreation,20,88.3,0.854,4,4,16,8
2021,4,Westbrook,Building & Safety,13,47.9,0.851,0,11,8,10
2021,4,Westbrook,Transportation,28,34.9,0.685,4,2,6,3
2021,4,Westbrook,Utilities,12,48.9,0.868,0,9,16,15
2021,4,Westbrook,Environmental Services,9,41.7,0.667,1,15,6,20
2021,4,Westbrook,Code Enforcement,30,33.5,0.882,5,13,25,16
2021,4,Westbrook,Permits & Licensing,12,69.6,0.718,2,5,18,13
2021,4,Riverside,Public Works,13,64.0,0.792,0,11,16,6
2021,4,Riverside,Parks & Recreation,21,71.2,0.713,5,2,10,10
2021,4,Riverside,Building & Safety,30,86.2,0.734,4,2,17,5
2021,4,Riverside,Transportation,19,74.0,0.654,2,14,14,13
2021,4,Riverside,Utilities,7,50.8,0.745,4,9,5,14
2021,4,Riverside,Environmental Services,11,63.1,0.67,2,11,14,10
2021,4,Riverside,Code Enforcement,19,80.9,0.709,2,11,20,9
2021,4,Riverside,Permits & Licensing,28,72.7,0.867,4,14,12,7
2021,4,Highland,Public Works,5,64.5,0.85,3,2,12,20
2021,4,Highland,Parks & Recreation,16,71.7,0.746,5,15,5,13
2021,4,Highland,Building & Safety,5,82.2,0.73,5,8,14,6
2021,4,Highland,Transportation,11,65.1,0.851,4,5,18,18
2021,4,Highland,Utilities,6,51.3,0.732,1,13,13,5
2021,4,Highland,Environmental Services,6,57.1,0.871,1,15,21,16
2021,4,Highland,Code Enforcement,27,91.0,0.797,2,9,7,6
2021,4,Highland,Permits & Licensing,21,71.6,0.894,1,12,17,5
2021,4,Lakewood,Public Works,23,31.1,0.713,4,2,18,7
2021,4,Lakewood,Parks & Recreation,12,75.0,0.872,2,6,15,15
2021,4,Lakewood,Building & Safety,27,85.7,0.762,5,7,15,17
2021,4,Lakewood,Transportation,13,30.4,0.768,1,3,11,7
2021,4,Lakewood,Utilities,29,40.6,0.729,4,3,9,6
2021,4,Lakewood,Environmental Services,10,79.6,0.67,3,9,15,16
2021,4,Lakewood,Code Enforcement,8,83.6,0.765,4,7,11,17
2021,4,Lakewood,Permits & Licensing,14,66.9,0.674,3,6,8,5
2021,4,Industrial,Public Works,10,48.3,0.674,5,6,24,4
2021,4,Industrial,Parks & Recreation,11,93.2,0.868,2,4,7,10
2021,4,Industrial,Building & Safety,16,57.1,0.71,3,10,6,12
2021,4,Industrial,Transportation,13,91.2,0.743,1,2,17,17
2021,4,Industrial,Utilities,22,35.6,0.802,5,10,12,6
2021,4,Industrial,Environmental Services,19,92.0,0.651,0,14,9,6
2021,4,Industrial,Code Enforcement,5,41.1,0.903,0,15,12,7
2021,4,Industrial,Permits & Licensing,11,36.3,0.681,3,7,25,5
2021,4,Midtown,Public Works,23,65.1,0.883,4,6,7,3
2021,4,Midtown,Parks & Recreation,7,58.4,0.919,1,12,19,7
2021,4,Midtown,Building & Safety,7,72.9,0.67,2,3,6,17
2021,4,Midtown,Transportation,6,95.5,0.76,1,11,18,15
2021,4,Midtown,Utilities,20,44.7,0.801,0,8,18,8
2021,4,Midtown,Environmental Services,16,45.9,0.673,1,4,13,11
2021,4,Midtown,Code Enforcement,19,24.1,0.771,1,2,24,10
2021,4,Midtown,Permits & Licensing,25,84.3,0.805,2,9,18,20
2021,4,University,Public Works,20,95.9,0.727,0,3,13,15
2021,4,University,Parks & Recreation,9,44.2,0.693,3,5,25,19
2021,4,University,Building & Safety,12,35.8,0.727,5,14,22,3
2021,4,University,Transportation,17,81.1,0.895,5,7,20,20
2021,4,University,Utilities,30,94.2,0.713,3,7,23,19
2021,4,University,Environmental Services,15,87.5,0.739,3,6,10,3
2021,4,University,Code Enforcement,15,32.1,0.885,4,5,5,11
2021,4,University,Permits & Licensing,6,69.8,0.694,3,10,16,10
2021,4,Harbor,Public Works,10,54.9,0.728,0,5,12,11
2021,4,Harbor,Parks & Recreation,22,77.0,0.772,5,2,12,15
2021,4,Harbor,Building & Safety,16,95.2,0.665,1,4,12,13
2021,4,Harbor,Transportation,30,49.6,0.78,5,13,16,3
2021,4,Harbor,Utilities,27,60.2,0.735,5,7,23,7
2021,4,Harbor,Environmental Services,23,76.5,0.886,1,15,20,20
2021,4,Harbor,Code Enforcement,14,91.6,0.867,1,9,6,5
2021,4,Harbor,Permits & Licensing,6,85.2,0.799,1,11,12,3
2021,5,Downtown,Public Works,21,83.5,0.732,3,2,15,9
2021,5,Downtown,Parks & Recreation,30,52.7,0.736,1,7,10,13
2021,5,Downtown,Building & Safety,6,57.7,0.727,0,4,23,7
2021,5,Downtown,Transportation,29,93.2,0.734,0,15,21,14
2021,5,Downtown,Utilities,7,31.1,0.792,2,13,17,6
2021,5,Downtown,Environmental Services,15,28.1,0.68,2,7,9,8
2021,5,Downtown,Code Enforcement,28,39.8,0.775,3,14,25,18
2021,5,Downtown,Permits & Licensing,25,55.2,0.866,2,4,22,14
2021,5,Northside,Public Works,12,77.2,0.765,5,11,10,15
2021,5,Northside,Parks & Recreation,14,48.0,0.735,5,13,14,7
2021,5,Northside,Building & Safety,10,79.7,0.664,5,2,23,15
2021,5,Northside,Transportation,29,24.9,0.865,4,2,10,13
2021,5,Northside,Utilities,30,58.4,0.685,4,5,25,6
2021,5,Northside,Environmental Services,20,41.0,0.902,1,7,7,10
2021,5,Northside,Code Enforcement,16,85.9,0.842,2,4,25,5
2021,5,Northside,Permits & Licensing,27,58.7,0.79,5,12,15,17
2021,5,Southside,Public Works,5,94.2,0.911,2,5,12,5
